token	freq	lMI	rMI
saw	0.0009943425338590777	0.0008966120543109487	0.00020347392327429878
felt	0.0009943425338590777	0.0008656198536915121	0.00014758771517142712
come	0.0009943425338590777	0.00043068691074839586	0.00017121192474056464
will	0.0009600548602777301	0.00018035739110797228	0.0004471474758649975
long	0.0009600548602777301	0.00024614012283052727	0.00017575470223183957
church	0.0009600548602777301	0.0007948015754758314	0.00013332819842316754
own	0.0009429110234870564	0.001253717691873645	0.00013053921798156476
must	0.0009429110234870564	0.00024438892430845145	0.0005322737707697279
first	0.0009429110234870564	0.0004803661275699549	0.00014892607129713686
its	0.0009429110234870564	0.00015987903000286034	0.0001546612835062803
any	0.0009429110234870564	0.00010468178402301178	0.00021619643849288316
seemed	0.0009429110234870564	0.00022380931974841232	0.001182685374790048
away	0.0009429110234870564	0.0001509079126079687	0.0001435703675995794
well	0.0009257671866963826	0.00018645822486805066	0.0001410756507279058
didn't	0.0009257671866963826	0.000595268585359283	0.0002962798484023234
head	0.0009257671866963826	0.0015192307254068167	0.00010680442398856407
night	0.0009086233499057089	0.00034531157600660087	8.314512447429654e-05
day	0.0009086233499057089	0.0002365164687904936	9.35929312852517e-05
are	0.0008914795131150352	0.00043260401506930573	0.0001228326320379236
big	0.0008914795131150352	0.00030837815192981784	0.0005885550898368993
home	0.0008914795131150352	0.00016271377410850498	0.00010902453557266775
got	0.0008743356763243614	0.00017260033502145401	0.00020689716009172958
make	0.0008743356763243614	0.0006458063166138418	0.0001967648843056544
take	0.0008743356763243614	0.0007452936273344698	0.00016429740113494857
hand	0.0008743356763243614	0.0003114621055692274	8.54344848374566e-05
same	0.0008743356763243614	0.0027167193784955464	0.0004394902264182812
asked	0.0008571918395336877	0.00024124412558138903	0.00013155596459014888
while	0.0008571918395336877	0.00012972903823967255	0.0001530337423582482
much	0.0008571918395336877	0.0003652865645589567	0.00011423230879986744
always	0.0008400480027430139	0.0001969425809779223	0.00014712011009763287
another	0.0008400480027430139	0.00011070319262081654	0.00010511665287883941
new	0.0008400480027430139	0.00025848943797485906	0.0005215298690441706
once	0.0008229041659523401	0.00018946315416097862	0.0001475713820190629
other	0.0008229041659523401	0.0004435119683191236	0.00017627448124746408
told	0.0008229041659523401	0.00032152291542377316	0.00039472995047459093
door	0.0008057603291616663	0.0009508117414190834	0.00013680670537422962
these	0.0008057603291616663	0.00011098890182383419	0.00020123072964023552
than	0.0008057603291616663	0.00030084744781997205	0.00015379024103342152
going	0.0007886164923709926	0.0002525115861389099	0.0010054183852929361
life	0.0007714726555803189	0.0003106994670019662	7.187142808454544e-05
something	0.0007714726555803189	0.00012699410873403286	0.00012937307801865757
very	0.0007543288187896451	0.00014981857222130037	0.00020235999438338463
look	0.0007543288187896451	0.00013534269153832838	0.00030083846526489827
took	0.0007543288187896451	0.00015146961441478166	0.00015688200501904075
